matchid,date,year,city,venue,team1,team2,toss_winner,toss_decision,winner,by_what,by_how_many,mom,result
1426312,2024-05-26T14:00Z,2024,"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Kolkata Knight Riders,,,Kolkata Knight Riders,,[8],,KKR won by 8 wkts (57b rem)
1426311,2024-05-24T14:00Z,2024,"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Rajasthan Royals,,,Sunrisers Hyderabad,runs,[36],,SRH won by 36 runs
1426310,2024-05-22T14:00Z,2024,"Narendra Modi Stadium, Motera, Ahmedabad","Narendra Modi Stadium, Motera, Ahmedabad",Royal Challengers Bengaluru,Rajasthan Royals,,,Rajasthan Royals,,[4],,RR won by 4 wkts (6b rem)
1426309,2024-05-21T14:00Z,2024,"Narendra Modi Stadium, Motera, Ahmedabad","Narendra Modi Stadium, Motera, Ahmedabad",Sunrisers Hyderabad,Kolkata Knight Riders,,,Kolkata Knight Riders,,[8],,KKR won by 8 wkts (38b rem)
1426307,2024-05-19T10:00Z,2024,"Rajiv Gandhi International Stadium, Uppal, Hyderabad","Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,Sunrisers Hyderabad,,,Sunrisers Hyderabad,,[4],,SRH won by 4 wkts (5b rem)
1426306,2024-05-18T14:00Z,2024,"M.Chinnaswamy Stadium, Bengaluru","M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Chennai Super Kings,,,Royal Challengers Bengaluru,runs,[27],,RCB won by 27 runs
1426305,2024-05-17T14:00Z,2024,"Wankhede Stadium, Mumbai","Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians,,,Lucknow Super Giants,runs,[18],,LSG won by 18 runs
1426303,2024-05-15T14:00Z,2024,"Barsapara Cricket Stadium, Guwahati","Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,,,Punjab Kings,,[5],,PBKS won by 5 wkts (7b rem)
1426302,2024-05-14T14:00Z,2024,"Arun Jaitley Stadium, Delhi","Arun Jaitley Stadium, Delhi",Delhi Capitals,Lucknow Super Giants,,,Delhi Capitals,runs,[19],,DC won by 19 runs
1426300,2024-05-12T14:00Z,2024,"M.Chinnaswamy Stadium, Bengaluru","M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Delhi Capitals,,,Royal Challengers Bengaluru,runs,[47],,RCB won by 47 runs
